date,product,close_price_krw_per_tco2,weighted_avg_price_krw_per_tco2,open_price_krw_per_tco2,high_price_krw_per_tco2,low_price_krw_per_tco2,volume_tco2,trading_value_krw
2026-06-04,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-04,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-05,KAU25,26550,26205,24950,26700,24950,369483,9682354150
2026-06-05,KAU26,24550,0,0,0,0,0,0
2026-06-05,KAU27,24550,0,0,0,0,0,0
2026-06-05,KAU28,24550,0,0,0,0,0,0
2026-06-05,KAU29,24550,0,0,0,0,0,0
2026-06-05,KAU30,24550,0,0,0,0,0,0
2026-06-05,KCU25,9300,0,0,0,0,0,0
2026-06-05,KCU26,9300,0,0,0,0,0,0
2026-06-05,KOC21-26,12050,0,0,0,0,0,0
2026-06-05,KOC22-27,11000,0,0,0,0,0,0
2026-06-05,KOC23-28,15000,0,0,0,0,0,0
2026-06-05,KOC24-29,13500,0,0,0,0,0,0
2026-06-05,KOC25-30,13000,0,0,0,0,0,0
2026-06-05,KOC26-31,11000,0,0,0,0,0,0
2026-06-05,i-KCU25,15450,0,0,0,0,0,0
2026-06-05,i-KCU26,15450,0,0,0,0,0,0
2026-06-05,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-05,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-05,i-KOC23-28,19900,19900,19900,19900,19900,100,1990000
2026-06-05,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-05,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-05,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-08,KAU25,28800,28335,26900,28800,26900,444304,12589318750
2026-06-08,KAU26,24550,0,0,0,0,0,0
2026-06-08,KAU27,24550,0,0,0,0,0,0
2026-06-08,KAU28,24550,0,0,0,0,0,0
2026-06-08,KAU29,24550,0,0,0,0,0,0
2026-06-08,KAU30,24550,0,0,0,0,0,0
2026-06-08,KCU25,9300,0,0,0,0,0,0
2026-06-08,KCU26,9300,0,0,0,0,0,0
2026-06-08,KOC21-26,12050,0,0,0,0,0,0
2026-06-08,KOC22-27,11000,0,0,0,0,0,0
2026-06-08,KOC23-28,15000,0,0,0,0,0,0
2026-06-08,KOC24-29,13500,0,0,0,0,0,0
2026-06-08,KOC25-30,13000,0,0,0,0,0,0
2026-06-08,KOC26-31,11000,0,0,0,0,0,0
2026-06-08,i-KCU25,15450,0,0,0,0,0,0
2026-06-08,i-KCU26,15450,0,0,0,0,0,0
2026-06-08,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-08,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-08,i-KOC23-28,21850,21850,21850,21850,21850,100,2185000
2026-06-08,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-08,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-08,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-09,KAU25,28200,28408,28800,29700,26600,506260,14381879900
2026-06-09,KAU26,24500,0,0,0,0,0,0
2026-06-09,KAU27,24550,0,0,0,0,0,0
2026-06-09,KAU28,24550,0,0,0,0,0,0
2026-06-09,KAU29,24550,0,0,0,0,0,0
2026-06-09,KAU30,24550,0,0,0,0,0,0
2026-06-09,KCU25,9300,0,0,0,0,0,0
2026-06-09,KCU26,9300,0,0,0,0,0,0
2026-06-09,KOC21-26,12050,0,0,0,0,0,0
2026-06-09,KOC22-27,11000,0,0,0,0,0,0
2026-06-09,KOC23-28,15000,0,0,0,0,0,0
2026-06-09,KOC24-29,13500,0,0,0,0,0,0
2026-06-09,KOC25-30,13000,0,0,0,0,0,0
2026-06-09,KOC26-31,11000,0,0,0,0,0,0
2026-06-09,i-KCU25,15450,0,0,0,0,0,0
2026-06-09,i-KCU26,15450,0,0,0,0,0,0
2026-06-09,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-09,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-09,i-KOC23-28,21850,0,0,0,0,0,0
2026-06-09,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-09,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-09,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-10,KAU25,26450,26595,28200,28200,25900,349717,9300814800
2026-06-10,KAU26,24500,0,0,0,0,0,0
2026-06-10,KAU27,24550,0,0,0,0,0,0
2026-06-10,KAU28,24550,0,0,0,0,0,0
2026-06-10,KAU29,24550,0,0,0,0,0,0
2026-06-10,KAU30,24550,0,0,0,0,0,0
2026-06-10,KCU25,9300,0,0,0,0,0,0
2026-06-10,KCU26,9300,0,0,0,0,0,0
2026-06-10,KOC21-26,12050,0,0,0,0,0,0
2026-06-10,KOC22-27,11000,0,0,0,0,0,0
2026-06-10,KOC23-28,15000,0,0,0,0,0,0
2026-06-10,KOC24-29,13500,0,0,0,0,0,0
2026-06-10,KOC25-30,13000,0,0,0,0,0,0
2026-06-10,KOC26-31,11000,0,0,0,0,0,0
2026-06-10,i-KCU25,15450,0,0,0,0,0,0
2026-06-10,i-KCU26,15450,0,0,0,0,0,0
2026-06-10,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-10,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-10,i-KOC23-28,24000,24000,24000,24000,24000,61,1464000
2026-06-10,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-10,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-10,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-11,KAU25,23950,24541,26200,26200,23850,655821,16094365750
2026-06-11,KAU26,24500,0,0,0,0,0,0
2026-06-11,KAU27,24550,0,0,0,0,0,0
2026-06-11,KAU28,24550,0,0,0,0,0,0
2026-06-11,KAU29,24550,0,0,0,0,0,0
2026-06-11,KAU30,24550,0,0,0,0,0,0
2026-06-11,KCU25,9300,0,0,0,0,0,0
2026-06-11,KCU26,9300,0,0,0,0,0,0
2026-06-11,KOC21-26,12050,0,0,0,0,0,0
2026-06-11,KOC22-27,11000,0,0,0,0,0,0
2026-06-11,KOC23-28,15000,0,0,0,0,0,0
2026-06-11,KOC24-29,13500,0,0,0,0,0,0
2026-06-11,KOC25-30,13000,0,0,0,0,0,0
2026-06-11,KOC26-31,11000,0,0,0,0,0,0
2026-06-11,i-KCU25,15450,0,0,0,0,0,0
2026-06-11,i-KCU26,15450,0,0,0,0,0,0
2026-06-11,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-11,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-11,i-KOC23-28,24000,0,0,0,0,0,0
2026-06-11,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-11,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-11,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-12,KAU25,23800,24106,23950,25200,23000,689140,16612104150
2026-06-12,KAU26,24500,0,0,0,0,0,0
2026-06-12,KAU27,24550,0,0,0,0,0,0
2026-06-12,KAU28,24550,0,0,0,0,0,0
