facility,year,month,incoming_ton,incineration_ton,operation_rate,lng_nm3,electricity_kwh,prev_month_incoming_ton,prev_2month_avg_incoming_ton,prev_3month_avg_incoming_ton,same_month_last_year_incoming_ton,incineration_rate,same_month_past_avg_incineration_rate
강남,2020,2,22218.8,21937.68,84.0,13639.0,2272896.0,23549.26,24212.61,24124.353333333333,22735.60666666667,0.9873476515383369,0.9625153191134181
강남,2020,3,19534.21,18529.67,66.0,12062.0,2125116.0,22218.8,22884.03,23548.006666666664,24092.309999999998,0.9485753455092374,1.0267140367344039
강남,2020,4,14766.45,14519.04,54.0,4029.0,1860624.0,19534.21,20876.505,21767.423333333332,20698.301666666666,0.9832451266214968,1.0444672984950285
강남,2020,5,1515.06,1837.61,29.0,8316.0,722916.0,14766.45,17150.33,18839.819999999996,11544.346,1.2128958589098782,1.107579772500093
강남,2020,6,15108.8,14250.01,79.0,42237.0,1684224.0,1515.06,8140.755000000002,11938.573333333334,14950.583999999999,0.9431596155882666,0.9117793098296071
강남,2020,7,24110.02,25465.9,91.0,18687.0,2427120.0,15108.8,8311.93,10463.436666666666,23426.295,1.056237199305517,0.9783202764900115
강남,2020,8,26249.76,25435.46,91.0,22257.0,2406348.0,24110.02,19609.410000000003,13577.960000000001,24723.649999999998,0.9689787639963184,1.0371407863545683
강남,2020,9,25605.87,23877.45,88.0,22299.0,2364660.0,26249.76,25179.890000000003,21822.86,20877.57,0.9324990715019643,1.0817537165610809
강남,2020,10,22797.13,25148.46,90.0,22314.0,2470860.0,25605.87,25927.815000000002,25321.88333333333,25498.756,1.1031414919334144,0.9783042815038199
강남,2020,11,24942.01,22794.32,84.0,22672.0,2264904.0,22797.13,24201.500000000004,24884.253333333338,23867.081666666665,0.9138926654267239,0.9495625516196423
강남,2020,12,23686.43,23997.82,86.0,9668.0,2390832.0,24942.01,23869.570000000003,24448.33666666667,24639.338333333333,1.013146345819104,1.016590510948302
강남,2021,1,25823.0,24200.0,88.0,17121.0,2337228.0,23686.43,24314.22,23808.523333333334,24397.33142857143,0.9371490531696549,0.9963232109597667
강남,2021,2,18492.0,15167.0,83.0,44953.0,1707192.0,25823.0,24754.715000000004,24817.146666666667,22661.777142857143,0.8201925156824573,0.9660627951741209
강남,2021,3,20163.0,21422.0,89.0,69991.0,2234772.0,18492.0,22157.500000000004,22667.143333333337,23441.152857142857,1.0624411049942966,1.01555136655938
강남,2021,4,16364.0,19484.0,91.0,63941.0,2113164.0,20163.0,19327.500000000004,21492.666666666668,19850.894285714287,1.190662429723784,1.0357212739416668
강남,2021,5,1072.0,1498.0,93.0,26563.0,764244.0,16364.0,18263.500000000004,18339.666666666668,9872.798333333334,1.3973880597014925,1.1251324535683906
강남,2021,6,23014.0,22553.0,93.0,39214.0,2237220.0,1072.0,8718.000000000004,12533.0,14976.953333333333,0.9799687146954028,0.9170093607893836
강남,2021,7,25423.0,23206.0,91.0,28174.0,2425680.0,23014.0,12043.000000000004,13483.333333333334,23523.97,0.9127955001376706,0.9894512654636552
강남,2021,8,24196.0,25439.0,91.0,12703.0,2554308.0,25423.0,24218.500000000004,16503.0,24941.665714285715,1.0513721276244008,1.0274033545891041
강남,2021,9,25201.0,23493.0,88.0,16833.0,2293992.0,24196.0,24809.500000000004,24211.0,21553.04142857143,0.9322249117098528,1.0604316244097785
강남,2021,10,23268.0,23509.0,88.0,20405.0,2300544.0,25201.0,24698.500000000004,24940.0,25048.485,1.010357572631941,0.9991104832420857
강남,2021,11,25381.0,24238.0,90.0,7472.0,2387988.0,23268.0,24234.500000000004,24221.666666666668,24020.64285714286,0.9549663133840274,0.9444668535920826
강남,2021,12,24795.0,23699.0,88.0,9335.0,2339496.0,25381.0,24324.500000000004,24616.666666666668,24503.20857142857,0.9557975398265779,1.0160984873584167
강남,2022,1,22392.0,20210.0,87.0,41121.0,2244528.0,24795.0,25088.000000000004,24481.333333333332,24575.54,0.9025544837441943,0.9889264412360027
강남,2022,2,17644.0,19808.0,86.0,20817.0,2132532.0,22392.0,23593.500000000004,24189.333333333332,22140.555,1.1226479256404442,0.9478290102376629
강남,2022,3,21942.0,22755.0,83.0,20243.0,2340504.0,17644.0,20018.000000000004,21610.333333333332,23031.38375,1.0370522286026798,1.0214125838637447
강남,2022,4,5468.0,9945.0,81.0,20127.0,1400256.0,21942.0,19793.000000000004,20659.333333333332,19415.0325,1.8187637161667887,1.0550889184144314
강남,2022,5,5229.0,1281.0,92.0,43034.0,723564.0,5468.0,13705.000000000004,15018.0,8615.541428571429,0.24497991967871485,1.1640261115874053
강남,2022,6,22720.0,21191.0,90.0,47082.0,2327508.0,5229.0,5348.500000000004,10879.666666666668,16125.102857142858,0.9327024647887324,0.9260035542045292
강남,2022,7,20844.0,24278.0,90.0,20142.0,2610900.0,22720.0,13974.500000000004,11139.0,23761.34875,1.1647476492036077,0.9798692947979072
강남,2022,8,25596.0,23000.0,90.0,35473.0,2460060.0,20844.0,21782.000000000004,16264.333333333334,24848.4575,0.8985779027973121,1.0303994512185162
강남,2022,9,24364.0,23996.0,89.0,13485.0,2566152.0,25596.0,23220.000000000004,23053.333333333332,22009.03625,0.9848957478246594,1.0444057853222877
강남,2022,10,24584.0,23763.0,90.0,33122.0,2567700.0,24364.0,24980.000000000004,23601.333333333332,24794.13,0.9666042954767329,1.0007172102977793
강남,2022,11,21517.0,23793.0,91.0,20452.0,2482092.0,24584.0,24474.000000000004,24848.0,24190.6875,1.105776827624669,0.9457792860660756
강남,2022,12,26656.0,24751.0,90.0,18732.0,2635560.0,21517.0,23050.500000000004,23488.333333333332,24539.6825,0.9285339135654261,1.0085608689169367
강남,2023,1,21343.0,21724.0,89.0,49090.0,2445660.0,26656.0,24086.500000000004,24252.333333333332,24332.924444444445,1.0178512861359696,0.9793295570702463
강남,2023,2,21613.0,20031.0,89.0,22919.0,2255724.0,21343.0,23999.500000000004,23172.0,21640.937777777777,0.9268033128209874,0.9672533341713052
강남,2023,3,24248.0,24332.0,98.0,18377.0,2641536.0,21613.0,21478.000000000004,23204.0,22910.341111111113,1.0034642032332564,1.0231503221680707
강남,2023,4,8864.0,10809.0,85.0,6859.0,1489428.0,24248.0,22930.500000000004,22401.333333333332,17865.362222222222,1.2194268953068592,1.1399416737202488
강남,2023,5,3615.0,1636.0,90.0,39882.0,592848.0,8864.0,16556.000000000004,18241.666666666668,8192.22375,0.4525587828492393,1.049145337598819
강남,2023,6,17597.0,18460.0,89.0,23933.0,1892880.0,3615.0,6239.500000000004,12242.333333333334,16949.465,1.0490424504176847,0.9268409180275546
강남,2023,7,23195.0,24865.0,89.0,17623.0,2315448.0,17597.0,10606.000000000004,10025.333333333334,23437.198888888888,1.0719982754904074,1.0004113341763183
강남,2023,8,26587.0,25224.0,90.0,10803.0,,23195.0,20396.000000000004,14802.333333333334,24931.51777777778,0.9487343438522586,1.0157526125050491
강남,2023,9,23884.0,22888.0,90.0,19348.0,2215692.0,26587.0,24891.000000000004,22459.666666666668,22270.698888888888,0.9582984424719477,1.0377935589336624
강남,2023,10,23140.0,23833.0,87.0,14701.0,2224872.0,23884.0,25235.500000000004,24555.333333333332,24767.86375,1.0299481417458947,0.9964530959451484
강남,2023,11,18279.0,16968.0,88.0,41467.0,1788192.0,23140.0,23512.000000000004,24537.0,23893.61111111111,0.9282783522074511,0.9635567906836973
강남,2024,1,23092.0,22102.0,88.0,36611.0,2147508.0,18279.0,20709.500000000004,21767.666666666668,24033.932,0.9571280097003291,0.9831817299768186
강남,2024,2,21761.0,23016.0,88.0,10358.0,2033892.0,23092.0,20685.500000000004,21503.666666666668,21638.144,1.057671981986122,0.9632083320362735
강남,2024,3,22882.0,24559.0,88.0,11567.0,2301012.0,21761.0,22426.500000000004,21044.0,23044.107,1.0732890481601258,1.0211817102745893
강남,2024,4,11635.0,10835.0,88.0,9770.0,1409724.0,22882.0,22321.500000000004,22578.333333333332,16965.226000000002,0.9312419424151268,1.1478901958789098
강남,2024,5,1269.0,306.0,102.0,72992.0,420804.0,11635.0,17258.500000000004,18759.333333333332,7683.6433333333325,0.24113475177304963,0.9828579426266434
강남,2024,6,20513.0,21159.0,82.0,13500.0,2031768.0,1269.0,6452.000000000004,11928.666666666666,17021.413333333334,1.0314922244430362,0.9404188660709024
강남,2024,7,24365.0,23660.0,87.0,42402.0,2259252.0,20513.0,10891.000000000004,11139.0,23412.979,0.9710650523291606,1.0075700283077274
강남,2024,8,24389.0,23505.0,85.0,9419.0,2337084.0,24365.0,22439.000000000004,15382.333333333334,25097.066,0.9637541514617245,1.00905078563977
강남,2024,9,25589.0,23338.0,89.0,17088.0,2308968.0,24389.0,24377.000000000004,23089.0,22432.029000000002,0.9120325139708468,1.0298440472874908
강남,2024,10,24256.0,23625.0,90.0,19130.0,2297844.0,25589.0,24989.000000000004,24781.0,24586.99,0.9739858179419525,1.0001747677007868
강남,2024,11,21423.0,23084.0,88.0,19028.0,1788192.0,24256.0,24922.500000000004,24744.666666666668,23332.15,1.077533492041264,0.9600289468360726
강남,2024,12,21869.0,24049.0,89.0,14839.0,2116116.0,21423.0,22839.500000000004,23756.0,24774.82888888889,1.0996844848872833,0.999668984988991
강남,2025,1,25429.0,23988.0,88.0,12337.0,2245932.0,21869.0,21646.000000000004,22516.0,23948.30181818182,0.9433324157458021,0.9808132099516832
강남,2025,2,21347.0,21239.0,88.0,20014.0,2040840.0,25429.0,23649.000000000004,22907.0,21649.31272727273,0.9949407410877407,0.9717959365771688
강남,2025,3,21354.0,21262.0,83.0,20133.0,2077092.0,21347.0,23388.000000000004,22881.666666666668,23029.37,0.9956916736911118,1.0259187409914563
강남,2025,4,18833.0,18794.0,88.0,15328.0,1911204.0,21354.0,21350.500000000004,22710.0,16480.66,0.9979291668879096,1.128194900109475
강남,2025,5,6190.0,8183.0,90.0,20536.0,1281348.0,18833.0,20093.500000000004,20511.333333333332,7042.178999999999,1.3219709208400645,0.908685623541284
강남,2025,6,2966.0,1160.0,91.0,63535.0,491868.0,6190.0,12511.500000000004,15459.0,17370.572,0.39109912339851655,0.9495262019081159
강남,2025,7,23103.0,22718.0,89.0,41501.0,2199384.0,2966.0,4578.000000000004,9329.666666666668,23499.526363636363,0.9833354975544302,1.0042513941278577
